target,group_col,min_group_n,max_group_n,demographic_parity_gap,demographic_parity_gap_worst_group,demographic_parity_gap_best_group,equal_opportunity_recall_gap,equal_opportunity_recall_gap_worst_group,equal_opportunity_recall_gap_best_group,fpr_gap,fpr_gap_worst_group,fpr_gap_best_group,fnr_gap,fnr_gap_worst_group,fnr_gap_best_group,precision_gap,precision_gap_worst_group,precision_gap_best_group,f1_gap,f1_gap_worst_group,f1_gap_best_group
Atelectasis,Patient Gender,895,1019,0.07723422568955213,F,M,0.0507512433924433,F,M,0.08059507112803044,F,M,0.0507512433924433,M,F,0.003772992965886235,M,F,0.010079582764724204,F,M
Atelectasis,View Position,811,1103,0.14939638895378937,PA,AP,0.10850348927371423,PA,AP,0.1439953388165472,PA,AP,0.10850348927371412,AP,PA,0.03173221364278689,PA,AP,0.054018169112508785,PA,AP
Atelectasis,age_group,12,794,0.31955133941888914,0-18,61-80,0.4705882352941177,81+,61-80,0.3411949685534591,19-40,81+,0.47058823529411764,61-80,81+,0.2907092907092907,81+,41-60,0.3470588235294118,81+,41-60
Effusion,Patient Gender,895,1019,0.025861700319625425,M,F,0.08765549588743127,M,F,0.0065668772442222245,F,M,0.08765549588743116,F,M,0.0493052927501757,M,F,0.06543498206689458,M,F
Effusion,View Position,811,1103,0.27798862646766526,PA,AP,0.1351287209276043,PA,AP,0.28901016274952096,PA,AP,0.13512872092760442,AP,PA,0.09872958257713244,AP,PA,0.0013286821632635393,AP,PA
Effusion,age_group,12,794,0.10965797565627416,41-60,61-80,0.15000000000000002,0-18,81+,0.11858839110083938,41-60,61-80,0.15000000000000002,81+,0-18,0.24285714285714283,0-18,81+,0.21890547263681587,0-18,81+
Infiltration,Patient Gender,895,1019,0.010099725330453224,F,M,0.007859674130387462,M,F,0.01915952310572472,F,M,0.007859674130387462,F,M,0.01795472287275568,M,F,0.014155840070464665,M,F
Infiltration,View Position,811,1103,0.5455930636432642,PA,AP,0.6193404634581106,PA,AP,0.47140606807752894,PA,AP,0.6193404634581106,AP,PA,0.1393342379923272,PA,AP,0.34085356534766637,PA,AP
Infiltration,age_group,12,794,0.17762724941566255,41-60,0-18,0.5119047619047619,41-60,81+,0.29528985507246375,81+,0-18,0.5119047619047619,81+,41-60,0.36227758007117444,41-60,81+,0.4273504273504273,41-60,81+
Pneumothorax,Patient Gender,895,1019,0.14976014385886044,M,F,0.1533189033189033,M,F,0.1231418043237639,M,F,0.15331890331890333,F,M,0.0023640661938534313,M,F,0.05022507621456829,M,F
Pneumothorax,View Position,811,1103,0.17681628290962992,AP,PA,0.13557935445485647,AP,PA,0.13440012470547325,AP,PA,0.13557935445485647,PA,AP,0.060405991328340514,AP,PA,0.08680193419929838,AP,PA
Pneumothorax,age_group,12,794,0.19670664041524966,61-80,0-18,0.7954545454545454,81+,0-18,0.2435897435897436,19-40,81+,0.7954545454545454,0-18,81+,0.5555555555555556,81+,0-18,0.6542056074766355,81+,0-18
any_selected_pathology,Patient Gender,895,1019,0.02986716081600438,M,F,0.026220241918580744,M,F,0.0015455049135392196,M,F,0.02622024191858066,F,M,0.02564618450917644,M,F,0.025931342395887236,M,F
any_selected_pathology,View Position,811,1103,0.16971648893892122,PA,AP,0.12837547196864696,PA,AP,0.2499277108433735,PA,AP,0.12837547196864693,AP,PA,0.026404695845837378,PA,AP,0.07527729022702823,PA,AP
any_selected_pathology,age_group,12,794,0.09740990990990994,19-40,0-18,0.07297673493736323,41-60,0-18,0.14553752535496967,19-40,0-18,0.07297673493736329,0-18,41-60,0.08118811881188115,81+,0-18,0.07071524966261811,81+,0-18
