target,group_col,group,n,skipped_low_sample,base_rate_true_positive,selection_rate_predicted_positive,accuracy,precision,recall_equal_opportunity,f1,roc_auc,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp
any_selected_pathology,Patient Gender,F,895,False,0.8201117318435754,0.8502793296089386,0.8134078212290503,0.8725361366622865,0.9046321525885559,0.8882943143812709,0.7797738927344424,0.39751552795031053,0.6024844720496895,0.09536784741144415,64,97,70,664
any_selected_pathology,Patient Gender,M,1019,False,0.7909715407262021,0.8204121687929342,0.7782139352306182,0.84688995215311,0.8784119106699751,0.8623629719853837,0.724364799217139,0.39906103286384975,0.6009389671361502,0.12158808933002481,85,128,98,708
any_selected_pathology,age_group,0-18,111,False,0.8468468468468469,0.9099099099099099,0.8468468468468469,0.8811881188118812,0.9468085106382979,0.9128205128205128,0.7897371714643304,0.29411764705882354,0.7058823529411765,0.05319148936170213,5,12,5,89
any_selected_pathology,age_group,19-40,544,False,0.7867647058823529,0.8125,0.7867647058823529,0.8529411764705882,0.8808411214953271,0.8666666666666667,0.76842974540767,0.4396551724137931,0.5603448275862069,0.1191588785046729,51,65,51,377
any_selected_pathology,age_group,41-60,794,False,0.8085642317380353,0.8148614609571788,0.7896725440806045,0.8670788253477589,0.8738317757009346,0.8704422032583398,0.7564867191342843,0.4342105263157895,0.5657894736842105,0.1261682242990654,66,86,81,561
any_selected_pathology,age_group,61-80,453,False,0.8101545253863135,0.8763796909492274,0.8013245033112583,0.8488664987405542,0.9182561307901907,0.8821989528795812,0.7009378366389962,0.3023255813953488,0.6976744186046512,0.08174386920980926,26,60,30,337
any_selected_pathology,age_group,81+,12,False,0.75,0.8333333333333334,0.75,0.8,0.8888888888888888,0.8421052631578947,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.1111111111111111,1,2,1,8
any_selected_pathology,View Position,AP,811,False,0.8458692971639951,0.9321824907521579,0.8495684340320592,0.873015873015873,0.9620991253644315,0.9153952843273232,0.7020291545189504,0.232,0.768,0.037900874635568516,29,96,26,660
any_selected_pathology,View Position,PA,1103,False,0.7742520398912058,0.7624660018132366,0.7543064369900272,0.8466111771700356,0.8337236533957846,0.840117994100295,0.7594217619894096,0.4819277108433735,0.5180722891566265,0.16627634660421545,120,129,142,712
Infiltration,Patient Gender,F,895,False,0.3329608938547486,0.40893854748603353,0.6424581005586593,0.46994535519125685,0.5771812080536913,0.5180722891566265,0.6611525187458546,0.6750418760469011,0.3249581239530988,0.4228187919463087,403,194,126,172
Infiltration,Patient Gender,M,1019,False,0.3326790971540726,0.41903827281648676,0.6270853778213935,0.4519906323185012,0.5693215339233039,0.5039164490861618,0.6390465035571751,0.6558823529411765,0.34411764705882353,0.4306784660766962,446,234,146,193
Infiltration,age_group,0-18,111,False,0.3783783783783784,0.5315315315315315,0.6306306306306306,0.5084745762711864,0.7142857142857143,0.594059405940594,0.714975845410628,0.5797101449275363,0.42028985507246375,0.2857142857142857,40,29,12,30
Infiltration,age_group,19-40,544,False,0.3474264705882353,0.4889705882352941,0.6121323529411765,0.45864661654135336,0.6455026455026455,0.5362637362637362,0.6555928161561964,0.5943661971830986,0.4056338028169014,0.3544973544973545,211,144,67,122
Infiltration,age_group,41-60,794,False,0.31738035264483627,0.353904282115869,0.6385390428211587,0.4377224199288256,0.4880952380952381,0.46153846153846156,0.6172318866045804,0.7084870848708487,0.2915129151291513,0.5119047619047619,384,158,129,123
Infiltration,age_group,61-80,453,False,0.33112582781456956,0.40176600441501104,0.6467991169977925,0.4725274725274725,0.5733333333333334,0.5180722891566265,0.662112211221122,0.6831683168316832,0.31683168316831684,0.4266666666666667,207,96,64,86
Infiltration,age_group,81+,12,False,0.3333333333333333,0.4166666666666667,0.9166666666666666,0.8,1.0,0.8888888888888888,1.0,0.875,0.125,0.0,7,1,0,4
Infiltration,View Position,AP,811,False,0.4192355117139334,0.7287299630086314,0.5745992601726264,0.4957698815566836,0.861764705882353,0.6294307196562836,0.6959472961158986,0.3673036093418259,0.6326963906581741,0.13823529411764707,173,298,47,293
Infiltration,View Position,PA,1103,False,0.2692656391659112,0.18313689936536717,0.6781504986400725,0.3564356435643564,0.24242424242424243,0.28857715430861725,0.5497907110810336,0.8387096774193549,0.16129032258064516,0.7575757575757576,676,130,225,72
Effusion,Patient Gender,F,895,False,0.31508379888268156,0.38994413407821227,0.7307262569832402,0.5587392550143266,0.6914893617021277,0.618066561014263,0.7757858688232504,0.7487765089722676,0.25122349102773245,0.30851063829787234,459,154,87,195
Effusion,Patient Gender,M,1019,False,0.3071638861629048,0.36408243375858684,0.6997055937193327,0.5094339622641509,0.6038338658146964,0.5526315789473685,0.7425490320303378,0.7422096317280453,0.2577903682719547,0.3961661341853035,524,182,124,189
Effusion,age_group,0-18,111,False,0.22522522522522523,0.3783783783783784,0.6666666666666666,0.35714285714285715,0.6,0.44776119402985076,0.6855813953488372,0.686046511627907,0.313953488372093,0.4,59,27,10,15
Effusion,age_group,19-40,544,False,0.25919117647058826,0.3547794117647059,0.7279411764705882,0.48186528497409326,0.6595744680851063,0.5568862275449101,0.7634056631997607,0.7518610421836228,0.24813895781637718,0.3404255319148936,303,100,48,93
Effusion,age_group,41-60,794,False,0.32871536523929473,0.345088161209068,0.7342569269521411,0.5912408759124088,0.6206896551724138,0.6056074766355141,0.7816523258070776,0.7898686679174484,0.2101313320825516,0.3793103448275862,421,112,99,162
