target,group_col,group,n,positives,predicted_positives,sample_share,base_rate_true_positive,selection_rate_predicted_positive,low_sample_warning
any_selected_pathology,Patient Gender,M,1019,806,836,0.53239289446186,0.7909715407262021,0.8204121687929342,False
any_selected_pathology,Patient Gender,F,895,734,761,0.46760710553814,0.8201117318435754,0.8502793296089386,False
any_selected_pathology,age_group,41-60,794,642,647,0.4148380355276907,0.8085642317380353,0.8148614609571788,False
any_selected_pathology,age_group,19-40,544,428,442,0.28422152560083597,0.7867647058823529,0.8125,False
any_selected_pathology,age_group,61-80,453,367,397,0.23667711598746083,0.8101545253863135,0.8763796909492274,False
any_selected_pathology,age_group,0-18,111,94,101,0.05799373040752351,0.8468468468468469,0.9099099099099099,False
any_selected_pathology,age_group,81+,12,9,10,0.006269592476489028,0.75,0.8333333333333334,False
any_selected_pathology,View Position,PA,1103,854,841,0.5762800417972832,0.7742520398912058,0.7624660018132366,False
any_selected_pathology,View Position,AP,811,686,756,0.42371995820271685,0.8458692971639951,0.9321824907521579,False
Infiltration,Patient Gender,M,1019,339,427,0.53239289446186,0.3326790971540726,0.41903827281648676,False
Infiltration,Patient Gender,F,895,298,366,0.46760710553814,0.3329608938547486,0.40893854748603353,False
Infiltration,age_group,41-60,794,252,281,0.4148380355276907,0.31738035264483627,0.353904282115869,False
Infiltration,age_group,19-40,544,189,266,0.28422152560083597,0.3474264705882353,0.4889705882352941,False
Infiltration,age_group,61-80,453,150,182,0.23667711598746083,0.33112582781456956,0.40176600441501104,False
Infiltration,age_group,0-18,111,42,59,0.05799373040752351,0.3783783783783784,0.5315315315315315,False
Infiltration,age_group,81+,12,4,5,0.006269592476489028,0.3333333333333333,0.4166666666666667,False
Infiltration,View Position,PA,1103,297,202,0.5762800417972832,0.2692656391659112,0.18313689936536717,False
Infiltration,View Position,AP,811,340,591,0.42371995820271685,0.4192355117139334,0.7287299630086314,False
Effusion,Patient Gender,M,1019,313,371,0.53239289446186,0.3071638861629048,0.36408243375858684,False
Effusion,Patient Gender,F,895,282,349,0.46760710553814,0.31508379888268156,0.38994413407821227,False
Effusion,age_group,41-60,794,261,274,0.4148380355276907,0.32871536523929473,0.345088161209068,False
Effusion,age_group,19-40,544,141,193,0.28422152560083597,0.25919117647058826,0.3547794117647059,False
Effusion,age_group,61-80,453,164,206,0.23667711598746083,0.3620309050772627,0.45474613686534215,False
Effusion,age_group,0-18,111,25,42,0.05799373040752351,0.22522522522522523,0.3783783783783784,False
Effusion,age_group,81+,12,4,5,0.006269592476489028,0.3333333333333333,0.4166666666666667,False
Effusion,View Position,PA,1103,293,285,0.5762800417972832,0.2656391659111514,0.2583862194016319,False
Effusion,View Position,AP,811,302,435,0.42371995820271685,0.3723797780517879,0.5363748458692972,False
Atelectasis,Patient Gender,M,1019,306,566,0.53239289446186,0.30029440628066734,0.5554465161923454,False
Atelectasis,Patient Gender,F,895,251,428,0.46760710553814,0.28044692737430166,0.4782122905027933,False
Atelectasis,age_group,41-60,794,251,429,0.4148380355276907,0.3161209068010076,0.5403022670025189,False
Atelectasis,age_group,19-40,544,120,210,0.28422152560083597,0.22058823529411764,0.3860294117647059,False
Atelectasis,age_group,61-80,453,153,308,0.23667711598746083,0.33774834437086093,0.6799116997792495,False
Atelectasis,age_group,0-18,111,30,40,0.05799373040752351,0.2702702702702703,0.36036036036036034,False
Atelectasis,age_group,81+,12,3,7,0.006269592476489028,0.25,0.5833333333333334,False
Atelectasis,View Position,PA,1103,292,503,0.5762800417972832,0.26473254759746145,0.45602901178603805,False
Atelectasis,View Position,AP,811,265,491,0.42371995820271685,0.32675709001233044,0.6054254007398274,False
Pneumothorax,Patient Gender,M,1019,242,329,0.53239289446186,0.23748773307163887,0.3228655544651619,False
Pneumothorax,Patient Gender,F,895,252,423,0.46760710553814,0.28156424581005585,0.47262569832402235,False
Pneumothorax,age_group,41-60,794,202,312,0.4148380355276907,0.25440806045340053,0.3929471032745592,False
Pneumothorax,age_group,19-40,544,154,204,0.28422152560083597,0.28308823529411764,0.375,False
Pneumothorax,age_group,61-80,453,92,168,0.23667711598746083,0.20309050772626933,0.3708609271523179,False
Pneumothorax,age_group,0-18,111,44,63,0.05799373040752351,0.3963963963963964,0.5675675675675675,False
Pneumothorax,age_group,81+,12,2,5,0.006269592476489028,0.16666666666666666,0.4166666666666667,False
Pneumothorax,View Position,PA,1103,332,516,0.5762800417972832,0.30099728014505894,0.46781504986400724,False
Pneumothorax,View Position,AP,811,162,236,0.42371995820271685,0.1997533908754624,0.2909987669543773,False
